metric,value
test/c2st/acc,0.731
test/c2st/auc,0.800386254663828
test/c2st/gene_acc,0.6307499999999999
test/c2st/gene_auc,0.6710109854906259
test/c2st/nn,0.5183000000000001
test/c2st/nn_flip,0.4375
test/c2st/nn_real_ref,0.67185
test/c2st/nn_std,0.16515177867646474
test/c2st/pos_acc,0.6315
test/ct/acc,0.304456936358161
test/ct/acc_gap,0.32087733386870104
test/ct/acc_gen,0.2691226661312989
test/ct/acc_real,0.59
test/ct/f1,0.25387660684908225
test/ct/prop_jsd,0.0710026051670624
test/ct/prop_kl,0.36086786474455296
test/ct/prop_tv,0.31971491668339697
test/mmd2/pos,0.06606388092041016
test/mmd2/x,0.00603485107421875
test/moran/corr,-0.14217572703659226
test/moran/gen_mean,-0.00101122260339721
test/moran/mae,0.18969263708667627
test/moran/real_mean,0.18868141448327908
test/ot_w1/pos,0.431071827496911
test/ot_w1/x,5.517237716436387
test/ot_w2/pos,0.5063310325004963
test/ot_w2/x,5.622597264029074
test/psd/max,1.1483872225213316
test/psd/mean,0.08722969599997145
test/recon/mse_gap,0.06148594617843628
test/recon/mse_gen,0.9370787739753723
test/recon/mse_real,0.875592827796936
test/spd/max,0.07146421884399742
test/spd/mean,0.02157690335859086
